shot_id,shot_made_flag
1,0.371174
8,0.328888
17,0.68993
20,0.782128
33,0.37333
34,0.423766
35,0.444753
36,0.444753
37,0.690867
38,0.350257
45,0.422112
50,0.34509
55,0.306434
60,0.30013
66,0.264699
67,0.342695
71,0.452187
80,0.401885
85,0.392017
86,0.665167
95,0.606576
104,0.348122
113,0.339734
123,0.295817
126,0.837472
133,0.669897
141,0.210501
144,0.446042
150,0.807777
152,0.368668
153,0.782952
156,0.360562
159,0.939048
165,0.293635
172,0.457303
182,0.813695
192,0.406917
193,0.810995
196,0.350231
202,0.389817
210,0.338634
211,0.391604
228,0.930858
257,0.392337
260,0.387839
264,0.33213
267,0.671206
279,0.942634
282,0.394177
293,0.422286
299,0.83303
300,0.69612
301,0.728468
317,0.346167
327,0.43458
328,0.304267
335,0.382383
346,0.750405
348,0.26652
365,0.394577
390,0.688689
391,0.779915
392,0.802919
397,0.331972
418,0.338747
428,0.291941
434,0.618486
439,0.551418
440,0.395752
456,0.309018
459,0.270064
472,0.396765
480,0.237203
491,0.31439
497,0.379243
509,0.381495
511,0.38979
523,0.132585
533,0.390752
544,0.553347
546,0.371287
555,0.764137
558,0.362431
560,0.340497
573,0.293295
591,0.443289
596,0.431832
597,0.399169
601,0.629085
605,0.348389
617,0.281763
628,0.258631
634,0.401011
646,0.409288
649,0.435278
651,0.805746
654,0.940371
656,0.60238
657,0.639939
669,0.435178
670,0.952786
693,0.684305
694,0.248301
699,0.44896
711,0.440102
718,0.401381
722,0.329265
723,0.323431
725,0.688147
734,0.328874
735,0.405416
737,0.750405
746,0.305389
747,0.714839
766,0.356707
767,0.30339
771,0.25325
773,0.247451
774,0.330641
783,0.270444
784,0.389236
789,0.304281
792,0.372684
804,0.296859
809,0.391145
812,0.381771
813,0.389912
817,0.337037
820,0.374572
825,0.328379
826,0.358875
829,0.366504
855,0.414546
859,0.753891
862,0.376712
870,0.369522
876,0.308672
880,0.299606
886,0.971239
889,0.837472
891,0.404836
897,0.965298
902,0.419359
903,0.362811
908,0.3755
909,0.402259
920,0.422844
922,0.387902
924,0.597152
932,0.368597
934,0.323869
937,0.334871
941,0.292079
943,0.385455
950,0.404237
952,0.28458
954,0.878037
963,0.538902
975,0.410805
979,0.430017
981,0.453293
983,0.175153
985,0.528674
989,0.416939
995,0.462146
998,0.56825
1008,0.302813
1019,0.690786
1023,0.395959
1026,0.337198
1029,0.68537
1034,0.822257
1036,0.697018
1038,0.284356
1039,0.651901
1051,0.328683
1052,0.269714
1066,0.260417
1087,0.246471
1092,0.19841
1094,0.758733
1098,0.385473
1099,0.386958
1102,0.422662
1118,0.400321
1131,0.355823
1133,0.765838
1135,0.930927
1138,0.446558
1139,0.930135
1142,0.454128
1151,0.37213
